candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,net_correct_pairs,n_questions
surface_ridge_loqo,mean_loqo,accuracy,0.67250000,0.60000000,0.73916667,1.00000000,10,0,807.00000000,10
metadata_ridge_loqo,mean_loqo,accuracy,0.71833333,0.67000000,0.77000000,1.00000000,10,0,862.00000000,10
surface_metadata_ridge_loqo,surface_ridge_loqo,accuracy,0.01833333,0.00166667,0.03666667,0.98360000,5,3,22.00000000,10
surface_metadata_ridge_loqo,surface_ridge_loqo,spearman,0.04147059,0.00558824,0.08177942,0.99080000,7,0,,10
surface_metadata_ridge_loqo,surface_ridge_loqo,kendall,0.03666667,0.00333333,0.07166666,0.98580000,5,3,,10
odat_affine_loqo,odat_raw,accuracy,0.00000000,-0.00583333,0.00583333,0.43940000,4,2,0.00000000,10
odat_affine_loqo,odat_raw,spearman,-0.00000000,-0.01588236,0.01323530,0.51800000,5,1,,10
odat_affine_loqo,odat_raw,kendall,-0.00000000,-0.01166667,0.01166667,0.44780000,4,2,,10
odat_isotonic_loqo,odat_raw,accuracy,-0.01000000,-0.02500000,0.00416667,0.07700000,2,2,-12.00000000,10
odat_isotonic_loqo,odat_raw,spearman,-0.00168890,-0.02000981,0.01966688,0.42440000,4,0,,10
odat_isotonic_loqo,odat_raw,kendall,-0.00685016,-0.03416480,0.02410086,0.31660000,2,2,,10
odat_multioutput_ridge_loqo,odat_raw,accuracy,-0.00083333,-0.01000000,0.00916667,0.38180000,3,2,-1.00000000,10
odat_multioutput_ridge_loqo,odat_raw,spearman,0.00058824,-0.01794118,0.01558824,0.53700000,5,0,,10
odat_multioutput_ridge_loqo,odat_raw,kendall,-0.00166667,-0.02000000,0.01837500,0.42600000,3,2,,10
odat_raw,surface_ridge_loqo,accuracy,0.15666667,0.11500000,0.19500000,1.00000000,10,0,188.00000000,10
odat_raw,surface_ridge_loqo,spearman,0.34500000,0.22794118,0.45912500,1.00000000,10,0,,10
odat_raw,surface_ridge_loqo,kendall,0.31333333,0.22500000,0.38666667,1.00000000,10,0,,10
odat_raw,metadata_ridge_loqo,accuracy,0.11083333,0.06416667,0.16252083,1.00000000,9,0,133.00000000,10
odat_raw,metadata_ridge_loqo,spearman,0.21294118,0.11647059,0.32265441,1.00000000,9,0,,10
odat_raw,metadata_ridge_loqo,kendall,0.22166667,0.12666667,0.32500000,1.00000000,9,0,,10
