model,held_out_question,dimension,alpha
surface_ridge_loqo,1,comprehensiveness,100.0
surface_ridge_loqo,1,insight,100.0
surface_ridge_loqo,1,instruction_following,0.01
surface_ridge_loqo,1,readability,100.0
surface_ridge_loqo,2,comprehensiveness,1000.0
surface_ridge_loqo,2,insight,100.0
surface_ridge_loqo,2,instruction_following,0.01
surface_ridge_loqo,2,readability,100.0
surface_ridge_loqo,3,comprehensiveness,100.0
surface_ridge_loqo,3,insight,100.0
surface_ridge_loqo,3,instruction_following,0.01
surface_ridge_loqo,3,readability,100.0
surface_ridge_loqo,4,comprehensiveness,1000.0
surface_ridge_loqo,4,insight,100.0
surface_ridge_loqo,4,instruction_following,0.01
surface_ridge_loqo,4,readability,100.0
surface_ridge_loqo,5,comprehensiveness,1000.0
surface_ridge_loqo,5,insight,1000.0
surface_ridge_loqo,5,instruction_following,1000.0
surface_ridge_loqo,5,readability,100.0
surface_ridge_loqo,6,comprehensiveness,1000.0
surface_ridge_loqo,6,insight,100.0
surface_ridge_loqo,6,instruction_following,1000.0
surface_ridge_loqo,6,readability,100.0
surface_ridge_loqo,7,comprehensiveness,100.0
surface_ridge_loqo,7,insight,1000.0
surface_ridge_loqo,7,instruction_following,0.1
surface_ridge_loqo,7,readability,100.0
surface_ridge_loqo,16,comprehensiveness,1000.0
surface_ridge_loqo,16,insight,100.0
surface_ridge_loqo,16,instruction_following,0.01
surface_ridge_loqo,16,readability,100.0
surface_ridge_loqo,17,comprehensiveness,1000.0
surface_ridge_loqo,17,insight,100.0
surface_ridge_loqo,17,instruction_following,0.01
surface_ridge_loqo,17,readability,100.0
surface_ridge_loqo,18,comprehensiveness,1000.0
surface_ridge_loqo,18,insight,10.0
surface_ridge_loqo,18,instruction_following,100.0
surface_ridge_loqo,18,readability,100.0
metadata_ridge_loqo,1,comprehensiveness,1.0
metadata_ridge_loqo,1,insight,1.0
metadata_ridge_loqo,1,instruction_following,10.0
metadata_ridge_loqo,1,readability,10.0
metadata_ridge_loqo,2,comprehensiveness,1.0
metadata_ridge_loqo,2,insight,0.01
metadata_ridge_loqo,2,instruction_following,10.0
metadata_ridge_loqo,2,readability,10.0
metadata_ridge_loqo,3,comprehensiveness,1.0
metadata_ridge_loqo,3,insight,0.01
metadata_ridge_loqo,3,instruction_following,10.0
metadata_ridge_loqo,3,readability,10.0
metadata_ridge_loqo,4,comprehensiveness,1.0
metadata_ridge_loqo,4,insight,0.01
metadata_ridge_loqo,4,instruction_following,10.0
metadata_ridge_loqo,4,readability,10.0
metadata_ridge_loqo,5,comprehensiveness,1.0
metadata_ridge_loqo,5,insight,1.0
metadata_ridge_loqo,5,instruction_following,0.01
metadata_ridge_loqo,5,readability,10.0
metadata_ridge_loqo,6,comprehensiveness,1.0
metadata_ridge_loqo,6,insight,0.01
metadata_ridge_loqo,6,instruction_following,0.01
metadata_ridge_loqo,6,readability,10.0
metadata_ridge_loqo,7,comprehensiveness,10.0
metadata_ridge_loqo,7,insight,0.01
metadata_ridge_loqo,7,instruction_following,1.0
metadata_ridge_loqo,7,readability,10.0
metadata_ridge_loqo,16,comprehensiveness,10.0
metadata_ridge_loqo,16,insight,0.01
metadata_ridge_loqo,16,instruction_following,10.0
metadata_ridge_loqo,16,readability,10.0
metadata_ridge_loqo,17,comprehensiveness,10.0
metadata_ridge_loqo,17,insight,0.01
metadata_ridge_loqo,17,instruction_following,10.0
metadata_ridge_loqo,17,readability,10.0
metadata_ridge_loqo,18,comprehensiveness,10.0
metadata_ridge_loqo,18,insight,0.01
metadata_ridge_loqo,18,instruction_following,10.0
metadata_ridge_loqo,18,readability,1.0
surface_metadata_ridge_loqo,1,comprehensiveness,10.0
surface_metadata_ridge_loqo,1,insight,100.0
surface_metadata_ridge_loqo,1,instruction_following,1.0
surface_metadata_ridge_loqo,1,readability,100.0
surface_metadata_ridge_loqo,2,comprehensiveness,10.0
surface_metadata_ridge_loqo,2,insight,100.0
surface_metadata_ridge_loqo,2,instruction_following,1.0
surface_metadata_ridge_loqo,2,readability,100.0
surface_metadata_ridge_loqo,3,comprehensiveness,10.0
surface_metadata_ridge_loqo,3,insight,100.0
surface_metadata_ridge_loqo,3,instruction_following,0.01
surface_metadata_ridge_loqo,3,readability,10.0
surface_metadata_ridge_loqo,4,comprehensiveness,10.0
surface_metadata_ridge_loqo,4,insight,100.0
surface_metadata_ridge_loqo,4,instruction_following,1.0
surface_metadata_ridge_loqo,4,readability,10.0
surface_metadata_ridge_loqo,5,comprehensiveness,1.0
surface_metadata_ridge_loqo,5,insight,10.0
surface_metadata_ridge_loqo,5,instruction_following,0.1
surface_metadata_ridge_loqo,5,readability,100.0
surface_metadata_ridge_loqo,6,comprehensiveness,10.0
surface_metadata_ridge_loqo,6,insight,100.0
surface_metadata_ridge_loqo,6,instruction_following,10.0
surface_metadata_ridge_loqo,6,readability,100.0
surface_metadata_ridge_loqo,7,comprehensiveness,10.0
surface_metadata_ridge_loqo,7,insight,100.0
surface_metadata_ridge_loqo,7,instruction_following,0.1
surface_metadata_ridge_loqo,7,readability,100.0
surface_metadata_ridge_loqo,16,comprehensiveness,1.0
surface_metadata_ridge_loqo,16,insight,10.0
surface_metadata_ridge_loqo,16,instruction_following,0.1
surface_metadata_ridge_loqo,16,readability,100.0
surface_metadata_ridge_loqo,17,comprehensiveness,1.0
surface_metadata_ridge_loqo,17,insight,100.0
surface_metadata_ridge_loqo,17,instruction_following,0.01
surface_metadata_ridge_loqo,17,readability,1000.0
surface_metadata_ridge_loqo,18,comprehensiveness,1.0
surface_metadata_ridge_loqo,18,insight,100.0
surface_metadata_ridge_loqo,18,instruction_following,0.01
surface_metadata_ridge_loqo,18,readability,10.0
