held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae
1,comprehensiveness,10.00000000,0.63055556,0.35837348,1.04515227
1,insight,1000.00000000,0.66388889,0.48315842,1.13518608
1,instruction_following,0.10000000,0.54259259,0.23659196,2.05652254
1,readability,1000.00000000,0.72129630,0.59345404,0.67664891
2,comprehensiveness,10.00000000,0.60925926,0.31674761,0.96938857
2,insight,1000.00000000,0.67500000,0.51714313,1.03696920
2,instruction_following,0.10000000,0.56111111,0.30380154,2.37371794
2,readability,1000.00000000,0.70740741,0.57284451,0.72964884
3,comprehensiveness,10.00000000,0.65277778,0.40337276,1.03339098
3,insight,1000.00000000,0.68796296,0.54344311,1.01361503
3,instruction_following,10.00000000,0.59722222,0.38270190,1.43172835
3,readability,1000.00000000,0.71481481,0.58439398,0.70141933
4,comprehensiveness,10.00000000,0.63148148,0.36236167,0.86010980
4,insight,1000.00000000,0.67037037,0.50314054,1.00642381
4,instruction_following,0.10000000,0.55740741,0.27963043,1.92270266
4,readability,1000.00000000,0.71851852,0.59009035,0.70279934
5,comprehensiveness,10.00000000,0.63518519,0.37687822,0.89951923
5,insight,1000.00000000,0.71203704,0.59408355,0.91109335
5,instruction_following,1.00000000,0.53888889,0.25188893,1.48663579
5,readability,1000.00000000,0.73425926,0.63003923,0.72262556
6,comprehensiveness,100.00000000,0.62222222,0.35336420,0.68607140
6,insight,1000.00000000,0.70000000,0.57268257,0.91690594
6,instruction_following,10.00000000,0.54722222,0.27846957,1.17533351
6,readability,1000.00000000,0.71481481,0.58249081,0.72683219
7,comprehensiveness,100.00000000,0.62685185,0.34432415,0.62568018
7,insight,1000.00000000,0.69814815,0.56188049,0.93965544
7,instruction_following,10.00000000,0.50555556,0.11362787,1.40934577
7,readability,1000.00000000,0.71203704,0.55235460,0.69897842
16,comprehensiveness,100.00000000,0.65277778,0.42951943,0.63142294
16,insight,1000.00000000,0.70277778,0.57532607,0.94376236
16,instruction_following,1000.00000000,0.55185185,0.21909187,0.78784828
16,readability,1000.00000000,0.71481481,0.58640853,0.68631421
17,comprehensiveness,10.00000000,0.64537037,0.41799915,0.69973999
17,insight,1000.00000000,0.68240741,0.51497795,0.99302280
17,instruction_following,1.00000000,0.54166667,0.25806552,1.91258324
17,readability,1000.00000000,0.69166667,0.52947747,0.70440042
18,comprehensiveness,10.00000000,0.62685185,0.35788391,0.69231009
18,insight,1000.00000000,0.70092593,0.57822814,1.03705463
18,instruction_following,10.00000000,0.60185185,0.40466028,1.56207539
18,readability,1000.00000000,0.71944444,0.58457638,0.72005371
