candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,n_questions
diagonal_matched_hybrid,fixed_matched_hybrid,alignment_accuracy,-0.00625000,-0.02041667,0.00833333,0.20260000,3,2,10
diagonal_matched_hybrid,fixed_matched_hybrid,accuracy_comprehensiveness,-0.02083333,-0.03916667,-0.00416667,0.00260000,2,2,10
diagonal_matched_hybrid,fixed_matched_hybrid,accuracy_instruction_following,0.00833333,-0.02083333,0.04333333,0.68860000,3,6,10
diagonal_matched_hybrid,fixed_matched_hybrid,alignment_spearman,-0.05885361,-0.12824475,-0.00823652,0.00420000,4,0,10
diagonal_matched_hybrid,fixed_matched_hybrid,spearman_comprehensiveness,-0.04636491,-0.09041512,-0.01118681,0.00180000,4,0,10
diagonal_matched_hybrid,fixed_matched_hybrid,spearman_instruction_following,-0.01894592,-0.06798487,0.01081617,0.32960000,2,6,9
diagonal_matched_hybrid,ridge_global_structure,alignment_accuracy,-0.00583333,-0.01916667,0.00833333,0.20520000,3,2,10
diagonal_matched_hybrid,ridge_global_structure,accuracy_comprehensiveness,-0.02166667,-0.04000000,-0.00500000,0.00340000,2,2,10
diagonal_matched_hybrid,ridge_global_structure,accuracy_instruction_following,0.01000000,-0.01500000,0.04333333,0.72280000,3,6,10
diagonal_matched_hybrid,ridge_global_structure,alignment_spearman,-0.05845120,-0.12530396,-0.00998993,0.00240000,4,0,10
diagonal_matched_hybrid,ridge_global_structure,spearman_comprehensiveness,-0.04989692,-0.09291107,-0.01412518,0.00120000,4,0,10
diagonal_matched_hybrid,ridge_global_structure,spearman_instruction_following,-0.01412721,-0.05352874,0.01081617,0.31920000,2,6,9
fixed_matched_hybrid,ridge_global_structure,alignment_accuracy,0.00041667,-0.00125000,0.00250000,0.63080000,1,8,10
fixed_matched_hybrid,ridge_global_structure,accuracy_comprehensiveness,-0.00083333,-0.00250000,0.00000000,0.00000000,0,9,10
fixed_matched_hybrid,ridge_global_structure,accuracy_instruction_following,0.00166667,0.00000000,0.00500000,0.64660000,1,9,10
fixed_matched_hybrid,ridge_global_structure,alignment_spearman,0.00040241,-0.00529801,0.00650526,0.53180000,1,8,10
fixed_matched_hybrid,ridge_global_structure,spearman_comprehensiveness,-0.00353201,-0.01059603,0.00000000,0.00000000,0,9,10
fixed_matched_hybrid,ridge_global_structure,spearman_instruction_following,0.00481871,0.00000000,0.01445613,0.65200000,1,8,9
diagonal_matched_hybrid,diagonal_generic_hybrid,alignment_accuracy,-0.01666667,-0.04750000,0.00958333,0.12840000,5,0,10
diagonal_matched_hybrid,diagonal_generic_hybrid,accuracy_comprehensiveness,-0.01916667,-0.04000000,0.00252083,0.04180000,3,0,10
diagonal_matched_hybrid,diagonal_generic_hybrid,accuracy_instruction_following,-0.01416667,-0.07000000,0.03750000,0.30720000,3,4,10
diagonal_matched_hybrid,diagonal_generic_hybrid,alignment_spearman,-0.08950361,-0.17987265,-0.01443388,0.00700000,4,0,10
diagonal_matched_hybrid,diagonal_generic_hybrid,spearman_comprehensiveness,-0.05038317,-0.09949719,-0.00205792,0.02040000,3,0,10
diagonal_matched_hybrid,diagonal_generic_hybrid,spearman_instruction_following,-0.07670562,-0.21223460,0.02537029,0.10580000,2,4,9
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,alignment_accuracy,-0.04041667,-0.08750000,-0.00333333,0.01180000,4,0,10
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,accuracy_comprehensiveness,-0.02166667,-0.04166667,-0.00250000,0.01320000,4,0,10
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,accuracy_instruction_following,-0.05916667,-0.13918750,0.00000000,0.02420000,1,6,10
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,alignment_spearman,-0.04248653,-0.10719884,0.00476275,0.04940000,5,0,10
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,spearman_comprehensiveness,-0.05488974,-0.09714376,-0.01501681,0.00180000,4,0,10
diagonal_matched_hybrid,diagonal_mismatched_ensemble_hybrid,spearman_instruction_following,-0.03008332,-0.14615391,0.05901724,0.32360000,2,6,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,alignment_accuracy,0.00541667,-0.00083333,0.01125000,0.94980000,7,1,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,accuracy_comprehensiveness,0.00916667,-0.00166667,0.02000000,0.94080000,7,1,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,accuracy_instruction_following,0.00166667,-0.00750000,0.01250000,0.56720000,2,6,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,alignment_spearman,-0.02504247,-0.10026152,0.02079656,0.30920000,7,0,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,spearman_comprehensiveness,0.02325785,-0.00116932,0.04768006,0.96760000,8,0,10
diagonal_mismatch_shift2_hybrid,ridge_global_structure,spearman_instruction_following,-0.00796407,-0.03081321,0.01057917,0.24360000,1,6,9
